order,incl
2951,37
4868,37
2055,37
2451,37
1545,37
2670,37
1892,37
4855,37
4208,37
2405,37
1260,37
4587,37
3992,37
2393,37
2711,37
1661,37
3841,37
2689,38
1766,38
3000,38
2089,38
3236,38
4811,38
1527,38
2687,38
4163,38
4924,38
1544,38
461,38
2740,38
1020,38
3253,38
1075,38
1081,38
3971,38
1440,38
2005,38
4683,38
2327,38
3067,38
4123,38
1533,38
2608,38
2636,38
3627,38
983,38
2375,38
3696,38
2877,38
456,38
1408,38
3268,38
2267,38
4051,38
4920,38
887,38
4746,38
3487,38
529,38
4250,38
4188,38
864,38
670,38
2114,38
178,38
1145,38
2283,38
2257,38
3036,38
2597,38
2821,38
3250,38
1793,38
3624,38
721,38
3242,38
2298,38
90,38
2376,38
2648,38
4317,38
4442,38
3698,38
4265,38
1358,38
3495,38
431,38
2706,38
2794,38
4409,38
4023,38
2383,38
1400,38
1792,38
2962,38
1862,38
96,38
3354,38
398,38
3499,38
4689,38
579,38
2207,38
2377,38
2694,38
3932,38
1322,38
2381,38
4126,38
4108,38
1922,38
1552,38
4727,38
3592,38
426,38
941,38
3392,38
4649,38
512,38
2345,38
16,38
138,38
2009,38
2199,38
4847,38
1910,38
42,38
4772,38
2386,38
2528,38
1967,38
4941,38
1834,38
3360,38
1390,38
4284,38
4411,38
3260,38
1490,38
865,38
1667,38
2224,38
1214,38
4554,38
2745,38
1062,38
692,38
4654,38
2760,38
4486,38
3855,38
2273,38
4416,38
356,38
549,38
1546,38
417,38
278,38
3439,38
4948,38
4111,38
171,38
1566,38
4795,38
2759,38
4440,38
88,38
376,38
2479,38
2068,38
907,38
2844,38
747,38
593,38
1542,38
479,38
1215,38
585,38
910,38
2704,38
253,38
1596,38
1714,38
3914,38
1685,38
2610,38
4542,38
2138,38
2501,38
193,38
723,38
1918,38
3070,38
4292,38
1856,38
776,38
4196,38
3159,38
1628,38
440,38
1235,38
2127,38
2519,38
4915,38
2266,38
3671,38
2148,38
2856,38
1241,38
4781,38
110,38
4178,38
1237,38
2935,38
1423,38
2278,38
4566,38
4257,38
3248,38
4436,38
4332,38
565,38
1045,38
3256,38
324,38
2502,38
4115,38
947,38
1109,38
4745,38
4444,38
4312,38
444,38
1797,38
250,38
1729,38
4547,38
2011,38
1621,38
3953,38
15,38
1050,38
1528,38
1369,38
3954,38
902,38
4062,38
2489,38
285,38
370,38
3602,38
4887,38
3679,38
4687,38
2416,38
812,38
3261,38
3319,38
2150,38
3693,38
856,38
1557,38
1240,38
4461,38
2285,38
3708,38
3556,38
4212,38
1640,38
4630,38
2868,38
1327,38
4509,38
1740,38
4474,38
3737,38
1319,38
1538,38
170,38
3525,38
3429,38
3767,38
2540,38
2134,38
2731,38
3215,38
4980,38
1356,38
3678,38
4573,38
4613,38
2542,38
1704,38
2717,38
2287,38
3719,38
671,38
2917,38
2939,38
1478,38
182,38
3079,38
4761,38
1503,38
3349,38
2699,38
3674,38
1291,38
3689,38
3809,38
4958,38
823,38
1429,38
1716,38
3254,38
1061,38
584,38
3598,38
1962,38
1950,38
1813,38
630,38
1948,38
717,38
3563,38
3194,38
4128,38
4824,38
1233,38
3595,38
4585,38
658,38
3446,38
1497,38
1456,38
1257,38
4707,38
2961,38
2001,38
120,38
2842,38
3243,38
264,38
4233,38
2804,38
123,38
101,38
1739,38
3416,38
2091,38
1182,38
